veracity,statement,light_normalization
True,"""Forty-seven percent of (members of Congress) are millionaires.""","""forty-seven percent of (members of congress) are millionaires."""
True,"""Approximately 43 percent of all college grades today are A's, an increase of 28 percentage points since 1960.""","""approximately 43 percent of all college grades today are a's, an increase of 28 percentage points since 1960."""
False,"""When George Bush became president of the United States, 17 million people were in poverty. When he left, 30 million people were in poverty.""","""when george bush became president of the united states, 17 million people were in poverty. when he left, 30 million people were in poverty."""
True,"""It is ironic that (First Energy Corp. is) going to have a name on our (football stadium) where we (Cleveland Public Power) supply the electricity.""","""it is ironic that (first energy corp. is) going to have a name on our (football stadium) where we (cleveland public power) supply the electricity."""
False,"""The average age of first marijuana use is 12.""","""the average age of first marijuana use is 12."""
True,"""It costs $10,000 a year to keep a child in school; it costs $30,000 a year to keep someone in prison.""","""it costs $10,000 a year to keep a child in school; it costs $30,000 a year to keep someone in prison."""
True,"""I am now the No. 2 member of this House in terms of length of service.""","""i am now the no. 2 member of this house in terms of length of service."""
True,"""Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.""","""unlike the gridlock in washington, more than 80 percent of the bills we passed during this general assembly had bipartisan support."""
False,"""In Minnesota, well over 6,200 election-day registrations from 2008 proved fraudulent.""","""in minnesota, well over 6,200 election-day registrations from 2008 proved fraudulent."""
False,"""Semi-automatic weapons, whether pistol or rifle, were designed for use by the military on the battlefield.""","""semi-automatic weapons, whether pistol or rifle, were designed for use by the military on the battlefield."""
False,"""The amount of money that we put into running our own state legislature is nearly as much as we put into the University of Rhode Island.""","""the amount of money that we put into running our own state legislature is nearly as much as we put into the university of rhode island."""
True,"""Connecticut has the fifth toughest gun control laws in the country, including an assault weapons ban that bans 35 different weapons.""","""connecticut has the fifth toughest gun control laws in the country, including an assault weapons ban that bans 35 different weapons."""
True,"""Individuals with mental illnesses die an average of 25 years earlier than those without a mental illness.""","""individuals with mental illnesses die an average of 25 years earlier than those without a mental illness."""
True,"""Did U know? Block Island Wind Farm would mean 40% est. drop in BI electric rates.""","""did u know? block island wind farm would mean 40% est. drop in bi electric rates."""
True,"""Even hunters are restricted from using large capacity magazines: there is a five cartridge limit for large game hunting, and three for bird hunting.""","""even hunters are restricted from using large capacity magazines: there is a five cartridge limit for large game hunting, and three for bird hunting."""
True,"""Faculty salaries at UW System institutions have now fallen more than 18 percent below the national average.""","""faculty salaries at uw system institutions have now fallen more than 18 percent below the national average."""
False,"""[T]he Georgia Dome has returned $10 billion in economic impact to the state of Georgia.""","""[t]he georgia dome has returned $10 billion in economic impact to the state of georgia."""
False,"""If lawmakers fail to avert the fiscal cliff, 18 percent of the federal money that is sent to the states will be eliminated.""","""if lawmakers fail to avert the fiscal cliff, 18 percent of the federal money that is sent to the states will be eliminated."""
False,"""Scott Walker has even removed the 250,000 jobs promise from his website.""","""scott walker has even removed the 250,000 jobs promise from his website."""
True,"""In the last 15 years, we've witnessed a dramatic expansion in the jailing of immigrants, from about 70,000 people detained annually to about 400,000.""","""in the last 15 years, we've witnessed a dramatic expansion in the jailing of immigrants, from about 70,000 people detained annually to about 400,000."""
True,"""In 2008, tourism brought in $38 billion dollars and supported more than 300,000 jobs in the state of New Jersey.""","""in 2008, tourism brought in $38 billion dollars and supported more than 300,000 jobs in the state of new jersey."""
True,"""The five economic indicators that the federal government tracks - for the first time since August 2006 - were positive this October.""","""the five economic indicators that the federal government tracks - for the first time since august 2006 - were positive this october."""
True,"""A man using bath salts reported that raccoons had set fire inside his home and stolen his cell phone.""","""a man using bath salts reported that raccoons had set fire inside his home and stolen his cell phone."""
False,"""National studies are already showing the negative effects that the health care law is having on businesses and our economy. Businesses across the country are raising their prices … (or) cutting jobs as a result of the added cost.""","""national studies are already showing the negative effects that the health care law is having on businesses and our economy. businesses across the country are raising their prices ... (or) cutting jobs as a result of the added cost."""
True,"""In the past year alone, Ohio businesses have created more jobs than almost every other state in the country.""","""in the past year alone, ohio businesses have created more jobs than almost every other state in the country."""
False,"""There is no evidence that poor people abuse drugs more frequently than any other socio-economic group.""","""there is no evidence that poor people abuse drugs more frequently than any other socio-economic group."""
False,"""Wisconsin is the only state that allows parents or guardians to purchase alcohol for their children – regardless of whether that child is seven or 20 years old – at bars and restaurants.""","""wisconsin is the only state that allows parents or guardians to purchase alcohol for their children  regardless of whether that child is seven or 20 years old  at bars and restaurants."""
False,"""More Tennesseans have hunting and fishing licenses than vote.""","""more tennesseans have hunting and fishing licenses than vote."""
False,"""Clayton County offers the lowest operating millage rate in Metro Atlanta.""","""clayton county offers the lowest operating millage rate in metro atlanta."""
False,"""Bill Nelson actually voted in favor of higher taxes 272 times.""","""bill nelson actually voted in favor of higher taxes 272 times."""
False,"""New Jersey is the only state in the union that spent less on higher education than it did at the beginning of the decade.""","""new jersey is the only state in the union that spent less on higher education than it did at the beginning of the decade."""
True,"""One industry in America has increased its employment base in the last four years by 176,000 people: the United States government.""","""one industry in america has increased its employment base in the last four years by 176,000 people: the united states government."""
True,"""Connecticut's take on slot machines is 25 cents on the dollar. And the state's take on table games:  zero.""","""connecticut's take on slot machines is 25 cents on the dollar. and the state's take on table games:  zero."""
True,"""Jim Renacci tried to avoid paying taxes on nearly $14 million that he made.""","""jim renacci tried to avoid paying taxes on nearly $14 million that he made."""
False,"""Bill Nelson voted for higher taxes 150 times.""","""bill nelson voted for higher taxes 150 times."""
False,""" … if the Agreement goes into effect, the millions of Mexican citizens who will become eligible for Social Security benefits may have a far stronger claim to benefits and protection against cuts than U.S. citizens!""",""" ... if the agreement goes into effect, the millions of mexican citizens who will become eligible for social security benefits may have a far stronger claim to benefits and protection against cuts than u.s. citizens!"""
True,"""Tennessee students now cover about 67 percent of the cost of their education at public universities, and some 60 percent at community colleges.""","""tennessee students now cover about 67 percent of the cost of their education at public universities, and some 60 percent at community colleges."""
True,"""When (Joe Kyrillos) had an opportunity to vote for women in terms of their health care, not once, not twice, but six times, he voted against women’s health care in our state.""","""when (joe kyrillos) had an opportunity to vote for women in terms of their health care, not once, not twice, but six times, he voted against womens health care in our state."""
False,"""All legislative mail, from the content to the timing, is approved by the speaker's office.""","""all legislative mail, from the content to the timing, is approved by the speaker's office."""
False,"""Carol Shea-Porter … wants to increase taxes on small business and job creators.""","""carol shea-porter ... wants to increase taxes on small business and job creators."""
True,"""In every state, women are paid less than men.""","""in every state, women are paid less than men."""
True,"""We haven’t passed a budget in more than three years and not a single appropriations bill has been brought to the floor this year.""","""we havent passed a budget in more than three years and not a single appropriations bill has been brought to the floor this year."""
False,"""We have more people working in the state of New Jersey today than we've ever had in our history.""","""we have more people working in the state of new jersey today than we've ever had in our history."""
True,"""The truth is, Planned Parenthood does not provide mammograms. Planned Parenthood refers women to mammography providers, serving as the middlewoman, if you will.""","""the truth is, planned parenthood does not provide mammograms. planned parenthood refers women to mammography providers, serving as the middlewoman, if you will."""
True,"""In Cuyahoga County ... 56 percent of weekend voters in 2008 were African American while adult African Americans comprise 28 percent of the county population.""","""in cuyahoga county ... 56 percent of weekend voters in 2008 were african american while adult african americans comprise 28 percent of the county population."""
True,"""We just don't want to get to be like Louisiana, where you have drive-up daiquiri shops.""","""we just don't want to get to be like louisiana, where you have drive-up daiquiri shops."""
True,"""The Senate has not passed a budget in more than three years, not a good budget, not a bad budget, no budget.""","""the senate has not passed a budget in more than three years, not a good budget, not a bad budget, no budget."""
True,"""We have more scientists and engineers per square mile than anywhere in the world.""","""we have more scientists and engineers per square mile than anywhere in the world."""
True,"""The first (state) budget that came out of our Republican leadership slashed funding to Planned Parenthood...It resulted in the reduction of hours, the elimination of days, elimination of access to women in my city and all over my state.""","""the first (state) budget that came out of our republican leadership slashed funding to planned parenthood...it resulted in the reduction of hours, the elimination of days, elimination of access to women in my city and all over my state."""
False,"""This year, Eric Cantor has received more money from oil companies than any other member of Congress.""","""this year, eric cantor has received more money from oil companies than any other member of congress."""
True,"""From a standpoint of the county government, neither school system has received an increase in funding over the past six years.""","""from a standpoint of the county government, neither school system has received an increase in funding over the past six years."""
False,"""13,000 Floridians are able to vote -- but their governor won't tell them.""","""13,000 floridians are able to vote -- but their governor won't tell them."""
False,"""We actually made history in 2010. We came the closest in 24 years to defeating Frank Pallone.""","""we actually made history in 2010. we came the closest in 24 years to defeating frank pallone."""
False,"""I have voted every year in Wisconsin.""","""i have voted every year in wisconsin."""
False,"""Gov. Romney himself, with 28 other Republican governors, supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever.""","""gov. romney himself, with 28 other republican governors, supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever."""
True,"""There are close to 900,000 unemployed veterans in America right now.""","""there are close to 900,000 unemployed veterans in america right now."""
True,"""The judicial system is the most underfunded in this state, able to only pay 52 percent of its obligations. Meanwhile, judges get some of the richest pensions of all public employees.""","""the judicial system is the most underfunded in this state, able to only pay 52 percent of its obligations. meanwhile, judges get some of the richest pensions of all public employees."""
False,"""The president's first major foreign policy speech in Cairo was to apologize for our country.""","""the president's first major foreign policy speech in cairo was to apologize for our country."""
False,"""Diane Black voted to fund Obamacare.""","""diane black voted to fund obamacare."""
True,"""In 2010, Mr. [Anthony] Gemma described himself as a 'pro-life' candidate. Now, he claims to be pro-choice.""","""in 2010, mr. [anthony] gemma described himself as a 'pro-life' candidate. now, he claims to be pro-choice."""
True,"""Rhode Islanders pay among the highest auto repair bills in the nation.""","""rhode islanders pay among the highest auto repair bills in the nation."""
False,"""If you make more than $250,000 a year … you only really take home about $125,000.""","""if you make more than $250,000 a year ... you only really take home about $125,000."""
False,"""We are not producing jobs. We created 80,000 jobs last month. We don't talk about the jobs that we lost. The net of it all is that we lost jobs.""","""we are not producing jobs. we created 80,000 jobs last month. we don't talk about the jobs that we lost. the net of it all is that we lost jobs."""
False,"""83% of doctors have considered leaving the profession because of #Obamacare.""","""83% of doctors have considered leaving the profession because of #obamacare."""
True,"""Fireworks have never been safer, and their use continues to increase each year.""","""fireworks have never been safer, and their use continues to increase each year."""
True,"""We’re spending $12,000 bucks a kid a year in the school system.""","""were spending $12,000 bucks a kid a year in the school system."""
False,"""New Jersey's citizens are working at the highest rate in three years.""","""new jersey's citizens are working at the highest rate in three years."""
False,"""(Environmentalists) said ‘We’re only going to stop coal mining above 2,000 feet.’ ... Well guess where all the coal in the state of Tennessee is? Above 2,000 feet.""","""(environmentalists) said were only going to stop coal mining above 2,000 feet. ... well guess where all the coal in the state of tennessee is? above 2,000 feet."""
True,"""Oregon schools receive millions of dollars per year in federal school lunch assistance and yet they are required to spend that money almost anywhere but Oregon.""","""oregon schools receive millions of dollars per year in federal school lunch assistance and yet they are required to spend that money almost anywhere but oregon."""
True,"""There is little if any evidence that the use of red light cameras in New Jersey has reduced the number or severity of accidents at the intersections where they are used.""","""there is little if any evidence that the use of red light cameras in new jersey has reduced the number or severity of accidents at the intersections where they are used."""
True,"""The state's unemployment rate is fifth-highest in the country, a full point above the nationwide rate and higher than all of our...neighboring states.""","""the state's unemployment rate is fifth-highest in the country, a full point above the nationwide rate and higher than all of our...neighboring states."""
True,"""Under current law, if you go on a dating website and you say you're 32 and you're actually 42, you've committed a misdemeanor.""","""under current law, if you go on a dating website and you say you're 32 and you're actually 42, you've committed a misdemeanor."""
True,"""Three of our cities are among the top five worst cities in the U.S. for asthma.""","""three of our cities are among the top five worst cities in the u.s. for asthma."""
True,"""Gov. Romney was very clear, he would veto the DREAM Act.""","""gov. romney was very clear, he would veto the dream act."""
True,"""In Galveston, Texas, they have allowed people to privatize part of their Social Security. And people are building wealth.""","""in galveston, texas, they have allowed people to privatize part of their social security. and people are building wealth."""
True,"""In the 2000 Florida election, at least 1,100 eligible voters were wrongly dropped from voting rolls in an attempt to purge a list of felons. Many of those who were dropped showed up to vote and were told they could not.""","""in the 2000 florida election, at least 1,100 eligible voters were wrongly dropped from voting rolls in an attempt to purge a list of felons. many of those who were dropped showed up to vote and were told they could not."""
True,"""The U.S. is borrowing approximately $2.52 for every $1 of economic growth so far in 2012.""","""the u.s. is borrowing approximately $2.52 for every $1 of economic growth so far in 2012."""
False,"""No one on my staff has ever been charged with a crime.""","""no one on my staff has ever been charged with a crime."""
True,"""The legislature was never given the opportunity to debate or vote on loaning $75 million to 38 Studios.""","""the legislature was never given the opportunity to debate or vote on loaning $75 million to 38 studios."""
True,"""The Republican from Georgia [U.S. Rep. Jack Kingston], he hasn’t even been to a NASCAR race.""","""the republican from georgia [u.s. rep. jack kingston], he hasnt even been to a nascar race."""
False,"""In the state of Rhode Island 25 percent of our current physicians are graduates of for-profit medical schools.""","""in the state of rhode island 25 percent of our current physicians are graduates of for-profit medical schools."""
True,"""Water transportation is the most fuel efficient, least polluting, safest, and least expensive means of moving cargo.""","""water transportation is the most fuel efficient, least polluting, safest, and least expensive means of moving cargo."""
False,"""There’s 400 more people working in health care today in New Hampshire than when we passed the budget.""","""theres 400 more people working in health care today in new hampshire than when we passed the budget."""
False,"""Victory! Republicans by 2 to 1 vote to endorse Mark Neumann on first ballot at GOP convention.""","""victory! republicans by 2 to 1 vote to endorse mark neumann on first ballot at gop convention."""
True,"""When these [undocumented] students graduate from college, they're still illegal aliens. They cannot get a job.""","""when these [undocumented] students graduate from college, they're still illegal aliens. they cannot get a job."""
True,"""There has not been a Democratic woman in Congress from New Jersey in almost four decades.""","""there has not been a democratic woman in congress from new jersey in almost four decades."""
True,"""We have to recognize that our salaries for faculty are the lowest in New England with the exception of the University of Maine.""","""we have to recognize that our salaries for faculty are the lowest in new england with the exception of the university of maine."""
True,"""Wisconsin lost more jobs over the past 12 months than any other state.""","""wisconsin lost more jobs over the past 12 months than any other state."""
False,"""After four years of a celebrity president … 85% (of recent college grads are) moving back in with their parents.""","""after four years of a celebrity president ... 85% (of recent college grads are) moving back in with their parents."""
False,"""In my years in the State Legislature, I have never voted for a tax increase.""","""in my years in the state legislature, i have never voted for a tax increase."""
False,"""Personal income is growing faster in Tennessee on average than any other state in the country.""","""personal income is growing faster in tennessee on average than any other state in the country."""
False,"""We don’t allow filming inside of the City Hall unless there is a specific reason.""","""we dont allow filming inside of the city hall unless there is a specific reason."""
True,"""Tourism accounts for 439,000 jobs in the state of Ohio, and visitors spend $36 billion annually.""","""tourism accounts for 439,000 jobs in the state of ohio, and visitors spend $36 billion annually."""
True,"""Congress as a whole is less popular than it’s been since polling was invented.""","""congress as a whole is less popular than its been since polling was invented."""
True,"""The (ARC Tunnel) project was originally estimated to be $8.7 billion, and New Jersey alone was on the hook for all overruns.""","""the (arc tunnel) project was originally estimated to be $8.7 billion, and new jersey alone was on the hook for all overruns."""
True,"""Rhode Island’s exports have increased by 53 percent in the last two years.""","""rhode islands exports have increased by 53 percent in the last two years."""
True,"""[O]ver 200,000 ordinary citizens were given the opportunity to identify projects they preferred.""","""[o]ver 200,000 ordinary citizens were given the opportunity to identify projects they preferred."""
True,"""The average age of members of the House of Representatives is 57 years old.""","""the average age of members of the house of representatives is 57 years old."""
False,"""On most things except witch trials, Virginia will always have been first.""","""on most things except witch trials, virginia will always have been first."""
True,"""This is the only state in the country that bypassed the General Assembly to authorize [in-state tuition for undocumented immigrants].""","""this is the only state in the country that bypassed the general assembly to authorize [in-state tuition for undocumented immigrants]."""
True,"""More children die in agricultural jobs than in any other industry.""","""more children die in agricultural jobs than in any other industry."""
False,"""And the #jerseycomeback keeps rolling! Thanks to @GovChristie NJ now has lowest corruption risk of any state.""","""and the #jerseycomeback keeps rolling! thanks to @govchristie nj now has lowest corruption risk of any state."""
False,"""Medicare will be bankrupt in nine years.""","""medicare will be bankrupt in nine years."""
False,"""Right now we have sufficient reserves to take care of Tennessee's lottery scholarship students for a few years more.""","""right now we have sufficient reserves to take care of tennessee's lottery scholarship students for a few years more."""
False,"""It was found unconstitutional to drug test elected officials because it prevents us, as citizens, from having that First Amendment right.""","""it was found unconstitutional to drug test elected officials because it prevents us, as citizens, from having that first amendment right."""
True,"""Every poll you see, the overwhelming majority of people want [E-Verify].""","""every poll you see, the overwhelming majority of people want [e-verify]."""
True,"""More than half of the births in Texas are paid for by Medicaid.""","""more than half of the births in texas are paid for by medicaid."""
True,"""When we passed (the stand your ground law), we said it portends horrific events when people's lives were put into these situations.""","""when we passed (the stand your ground law), we said it portends horrific events when people's lives were put into these situations."""
True,"""New Jersey loses net, that is minus those who come into the state, 30,000 students a year.""","""new jersey loses net, that is minus those who come into the state, 30,000 students a year."""
False,"""Ninety percent of the people who work in this country work for companies under 100 people, maybe even less than that.""","""ninety percent of the people who work in this country work for companies under 100 people, maybe even less than that."""
True,"""More than 27,000 Rhode Island jobs depend on trade with Canada.""","""more than 27,000 rhode island jobs depend on trade with canada."""
True,"""In 1950, the average American lived for 68 years and 16 workers supported one retiree. Today, the average life expectancy is 78 and three workers support one retiree.""","""in 1950, the average american lived for 68 years and 16 workers supported one retiree. today, the average life expectancy is 78 and three workers support one retiree."""
True,"""There are a lot of casinos across the country that have gone bankrupt.""","""there are a lot of casinos across the country that have gone bankrupt."""
True,"""Ohio is not meeting its obligation to update voter registrations when voters change their address with the BMV.""","""ohio is not meeting its obligation to update voter registrations when voters change their address with the bmv."""
True,"""In the last two years, super PACs raised more than $180 million -- with roughly half of it coming from fewer than 200 super-rich people and roughly 20 percent from corporations.""","""in the last two years, super pacs raised more than $180 million -- with roughly half of it coming from fewer than 200 super-rich people and roughly 20 percent from corporations."""
True,"""If we keep the minimum wage at the current level, then single-parent families earning the minimum wage at a full-time job will live in poverty in New Jersey.""","""if we keep the minimum wage at the current level, then single-parent families earning the minimum wage at a full-time job will live in poverty in new jersey."""
False,"""Tonight in Ohio, more people came out to vote for Barack Obama in an unopposed race than voted for (Mitt) Romney and (Rick) Santorum combined.""","""tonight in ohio, more people came out to vote for barack obama in an unopposed race than voted for (mitt) romney and (rick) santorum combined."""
True,"""Between 1982 and 2007 the cost of a college education increased 439 percent.""","""between 1982 and 2007 the cost of a college education increased 439 percent."""
True,"""In 2010 about 75 percent of child abuse and neglect reports in Oregon were made by those required to report by law.""","""in 2010 about 75 percent of child abuse and neglect reports in oregon were made by those required to report by law."""
True,"""Gingrich supported individual health insurance mandates.""","""gingrich supported individual health insurance mandates."""
False,"""We've seen in this last year tremendous things happening, including our unemployment rate come down 2 percentage points.""","""we've seen in this last year tremendous things happening, including our unemployment rate come down 2 percentage points."""
False,"""We have 395 inmates pushed into triple-bunked cells intended for two inmates and bunked in classrooms and areas supposed to be designated for inmate labor.""","""we have 395 inmates pushed into triple-bunked cells intended for two inmates and bunked in classrooms and areas supposed to be designated for inmate labor."""
True,"""Our small staff of 51 is still fewer than we had a decade ago, yet our caseload -- like that of other courts -- has grown.""","""our small staff of 51 is still fewer than we had a decade ago, yet our caseload -- like that of other courts -- has grown."""
False,"""There are more atheists in the country right now than Jews, Muslims, Hindus and Buddhists combined and doubled.""","""there are more atheists in the country right now than jews, muslims, hindus and buddhists combined and doubled."""
True,"""'Wrong precinct' rules exacerbate our provisional ballot problems (and) HB 194 does nothing to solve the wrong-precinct problem.""","""'wrong precinct' rules exacerbate our provisional ballot problems (and) hb 194 does nothing to solve the wrong-precinct problem."""
False,"""The Republicans just voted last year to end Medicare.""","""the republicans just voted last year to end medicare."""
False,"""Fewer than 10 percent of those in the House are what anyone would classify as wealthy.""","""fewer than 10 percent of those in the house are what anyone would classify as wealthy."""
False,"""Obamacare ... will kill jobs across America.""","""obamacare ... will kill jobs across america."""
True,"""We aren't the only state cutting back on public television.""","""we aren't the only state cutting back on public television."""
False,"""You can't pass a budget in the Senate of the United States without 60 votes.""","""you can't pass a budget in the senate of the united states without 60 votes."""
False,"""This year’s redistricting has been the most open, interactive and transparent redistricting process in Tennessee history.""","""this years redistricting has been the most open, interactive and transparent redistricting process in tennessee history."""
True,"""Ohio has one of the highest provisional ballot rates in the country, and many of them go uncounted each election.""","""ohio has one of the highest provisional ballot rates in the country, and many of them go uncounted each election."""
False,"""Since ObamaCare and the stimulus passed, the unemployment rate in the U.S. has increased.""","""since obamacare and the stimulus passed, the unemployment rate in the u.s. has increased."""
True,"""The national debt is equal to $48,700 for every American or $128,300 for every U.S. household. It is now equivalent to the size of our entire economy.""","""the national debt is equal to $48,700 for every american or $128,300 for every u.s. household. it is now equivalent to the size of our entire economy."""
True,"""We've seen more anti-women's choice bills introduced in the first half of this session than we've seen in the last three General Assemblies.""","""we've seen more anti-women's choice bills introduced in the first half of this session than we've seen in the last three general assemblies."""
False,"""A cashier earning $20,000 per year pays the same (Virginia) income tax rate as a hedge fund manager earning $20 million per year.""","""a cashier earning $20,000 per year pays the same (virginia) income tax rate as a hedge fund manager earning $20 million per year."""
True,"""Chesterfield has eliminated more positions from its general government operations than the Commonwealth has from the entire state government since (fiscal) 2009.""","""chesterfield has eliminated more positions from its general government operations than the commonwealth has from the entire state government since (fiscal) 2009."""
False,"""Studies show that if we opened one reserve in Alaska now, in five years, gas prices could be at $2 a gallon.""","""studies show that if we opened one reserve in alaska now, in five years, gas prices could be at $2 a gallon."""
False,"""Martin Luther King was a Republican.""","""martin luther king was a republican."""
False,"""Our jobless rate, our unemployment rate, is the lowest of all of the big cities in New Jersey.""","""our jobless rate, our unemployment rate, is the lowest of all of the big cities in new jersey."""
True,"""Before this day is out, 18 more veterans will have taken their own lives.  That is the daily average, it is intolerable, and it has to stop.""","""before this day is out, 18 more veterans will have taken their own lives.  that is the daily average, it is intolerable, and it has to stop."""
True,"""Tennessee’s grocery tax is one of the highest in the nation.""","""tennessees grocery tax is one of the highest in the nation."""
False,"""Martin Luther King Jr. was a Republican.""","""martin luther king jr. was a republican."""
True,"""Under this tax cut, middle-class families don't save enough for a week's worth of groceries, while millionaires save enough to go on an exotic vacation.""","""under this tax cut, middle-class families don't save enough for a week's worth of groceries, while millionaires save enough to go on an exotic vacation."""
False,"""I also voted 98 percent of the time with Republicans in the Oregon Legislature.""","""i also voted 98 percent of the time with republicans in the oregon legislature."""
True,"""My opponent on day one of this campaign attacked me on Medicare and Medicare Advantage and that claim was found to be False.""","""my opponent on day one of this campaign attacked me on medicare and medicare advantage and that claim was found to be false."""
False,"""[If] you apply for a job, the chances are 1 in 7 that you are going to be denied that job unfairly if everybody is forced to use E-Verify.""","""[if] you apply for a job, the chances are 1 in 7 that you are going to be denied that job unfairly if everybody is forced to use e-verify."""
True,"""Taxpayers earning $1 million pay an effective tax rate that is about four times what taxpayers earning $100,000 pay.""","""taxpayers earning $1 million pay an effective tax rate that is about four times what taxpayers earning $100,000 pay."""
True,"""After filing a lawsuit in Rhode Island, we reached an agreement with state agencies that resulted in more voters being registered in the first full month after our lawsuit than in the entire previous two-year reporting period.""","""after filing a lawsuit in rhode island, we reached an agreement with state agencies that resulted in more voters being registered in the first full month after our lawsuit than in the entire previous two-year reporting period."""
False,"""Our tax code is . . . 80,000 pages.""","""our tax code is . . . 80,000 pages."""
False,"""Hydrogen sulfide . . . [was] used in the genocide of Jews in Germany. ""","""hydrogen sulfide . . . [was] used in the genocide of jews in germany. """
False,"""Rhode Island is leading our nation in foreclosures.""","""rhode island is leading our nation in foreclosures."""
False,"""Following the catastrophic, cascading collapse of major investment banks on Wall Street in 2007.....Nobody was prosecuted, no hearings were held and no reforms were implemented.""","""following the catastrophic, cascading collapse of major investment banks on wall street in 2007.....nobody was prosecuted, no hearings were held and no reforms were implemented."""
True,"""Rhode Island already gets more revenue per capita from gambling than any other state in the country.""","""rhode island already gets more revenue per capita from gambling than any other state in the country."""
True,"""Last year we spent more than $40 billion on highways. And Lord knows we need that. But that's more than we spent on Amtrak in its entire 40-year history.""","""last year we spent more than $40 billion on highways. and lord knows we need that. but that's more than we spent on amtrak in its entire 40-year history."""
True,"""Currently it costs more than a penny for the U.S. Mint to make a one cent coin and more than a nickel to make the five cent piece.""","""currently it costs more than a penny for the u.s. mint to make a one cent coin and more than a nickel to make the five cent piece."""
True,"""(Stimulus money) went to critically important projects like studying ants in Africa.""","""(stimulus money) went to critically important projects like studying ants in africa."""
True,"""When the national debt reaches $15 trillion, it means that U.S. debt-to-GDP ratio will reach 99.7 percent of our debt and this is $47,900 for every living American.""","""when the national debt reaches $15 trillion, it means that u.s. debt-to-gdp ratio will reach 99.7 percent of our debt and this is $47,900 for every living american."""
False,"""If they made no changes whatsoever, the [state employees pension] plan still had enough money to go forward for approximately the next 16 years.""","""if they made no changes whatsoever, the [state employees pension] plan still had enough money to go forward for approximately the next 16 years."""
False,"""The job [of correctional officer] lowers your life expectancy . . . Metropolitan did a study in, I believe it was 1998, and the life expectancy was 58.""","""the job [of correctional officer] lowers your life expectancy . . . metropolitan did a study in, i believe it was 1998, and the life expectancy was 58."""
True,"""Ronald Reagan raised the national debt 18 times.""","""ronald reagan raised the national debt 18 times."""
True,"""The problem with invasive species today in the Great Lakes isn’t ballast water.""","""the problem with invasive species today in the great lakes isnt ballast water."""
True,"""This is a test of the Share the Facts widget.""","""this is a test of the share the facts widget."""
True,"""Every day in the United States, we are losing 15 factories.""","""every day in the united states, we are losing 15 factories."""
True,"""The average homeowner spends more than $2,000 each year on energy costs – more than on either real estate taxes or homeowners insurance.""","""the average homeowner spends more than $2,000 each year on energy costs  more than on either real estate taxes or homeowners insurance."""
False,"""New Jersey alone, my home state, is facing a ten-and-a-half billion dollar shortfall in its 2012 fiscal budget. This means more cuts in state and local spending for education, which means our kids are hurt.""","""new jersey alone, my home state, is facing a ten-and-a-half billion dollar shortfall in its 2012 fiscal budget. this means more cuts in state and local spending for education, which means our kids are hurt."""
True,"""The collective net worth of Americans has taken a $5.5 trillion hit ... mainly due to plummeting home values.""","""the collective net worth of americans has taken a $5.5 trillion hit ... mainly due to plummeting home values."""
False,"""Minimum wage = $16,000/year CEO-Goldman Sachs (Lloyd Blankfein) $16,000/Hour.""","""minimum wage = $16,000/year ceo-goldman sachs (lloyd blankfein) $16,000/hour."""
True,"""Nearly half of all pregnancies in the U.S. are unintended.""","""nearly half of all pregnancies in the u.s. are unintended."""
False,"""Foster children are disproportionately victims of identity theft.""","""foster children are disproportionately victims of identity theft."""
False,"""Nearly 14,000 Wisconsinites have lost their job since Governor Walker and the Republicans took over in January.""","""nearly 14,000 wisconsinites have lost their job since governor walker and the republicans took over in january."""
True,"""Under Governor Almond the RI DMV had a program that allowed undocumented [people to] use their Personal Tax Identification Number . . . to apply [for] and receive a RI driver’s license.""","""under governor almond the ri dmv had a program that allowed undocumented [people to] use their personal tax identification number . . . to apply [for] and receive a ri drivers license."""
False,"""Bryce Reeves chaired a group bankrolled by a New York billionaire who fired hundreds of Virginia workers and sent their jobs to China.""","""bryce reeves chaired a group bankrolled by a new york billionaire who fired hundreds of virginia workers and sent their jobs to china."""
False,"""Not a single segment of the proposed Beltline intersects the MARTA system at MARTA stations.""","""not a single segment of the proposed beltline intersects the marta system at marta stations."""
False,"""The reality is that we have roughly 15,000 undocumented immigrants living in the state...""","""the reality is that we have roughly 15,000 undocumented immigrants living in the state..."""
True,"""Health care is the greatest contribution to spending increases in the state budget.""","""health care is the greatest contribution to spending increases in the state budget."""
False,"""We're bankrupt.""","""we're bankrupt."""
False,"""[Eighty-five percent] of the funds collected in each county will be redistributed elsewhere -- not spent in the county in which it is collected.""","""[eighty-five percent] of the funds collected in each county will be redistributed elsewhere -- not spent in the county in which it is collected."""
False,"""An amazing 5,400 jobs were lost in the first 12 months of the (smoking) ban’s implementation in Ohio’s hospitality industry alone.""","""an amazing 5,400 jobs were lost in the first 12 months of the (smoking) bans implementation in ohios hospitality industry alone."""
True,"""Ten years ago the Austin Water Utility used a total of 240.3 million gallons. Every summer since then our peak day of water use has been lower.""","""ten years ago the austin water utility used a total of 240.3 million gallons. every summer since then our peak day of water use has been lower."""
True,"""The ratio of corporate profits to wages is now higher than at any time since just before the Great Depression.""","""the ratio of corporate profits to wages is now higher than at any time since just before the great depression."""
